nct_id,criterion,label
NCT01518517,Patient from 1 to 55 years old (Children and adolescents from 1 to 17 years/ Adults from 18 to 55 years),inclusion
NCT01518517,"Patients with 1st ALL relapse, which could be either isolated bone marrow relapse, or combined (medullary and extra-medullary) relapse, or extra-medullary isolated relapse; or lymphoblastic lymphoma (excepted Burkitt lymphoma) OR Failure to ALL first line treatment (no complete remission obtained)",inclusion
NCT01518517,Patient previously treated with free E.Coli L-asparaginase form or pegylated one,inclusion
NCT01518517,Performance Status ≤ 2 (WHO score),inclusion
NCT01518517,Patient informed and consent provided (the 2 parents need to consent when children are below 18),inclusion
NCT01518517,ALL t(9;22) and/or BCR-ABL positive (Philadelphia chromosome positive),exclusion
NCT01518517,Patient with 2nd relapse and over,exclusion
NCT01518517,Women of childbearing potential without effective contraception as well as pregnant or breast feeding women,exclusion
NCT01518517,"Patient unable to receive treatments used in global chemotherapy protocols, due to general or visceral conditions such as:Severe cardiac impairment (NYHA grade 3 or 4 cardiomyopathy)/Serum creatinine 2 x ULN unless related to ALL /ALT or AST 5 x ULN unless related to ALL /Pancreatitis history /Other malignancy that ALL / Severe Infection, HIV positive, active hepatitis related to B or C virus infection / Trisomy 21 / Other serious conditions according to investigator's opinion",exclusion
NCT01518517,"Known grade 4 allergic reaction to E.Coli L-asparaginase (according NCI-CTCAE, Version 3.0)",exclusion
NCT01518517,History of grade 3 transfusional incident,exclusion
NCT01518517,Presence of specific anti-erythrocyte antibodies preventing from getting a compatible erythrocyte concentrate for the patient,exclusion
NCT01518517,Patient under concomitant treatment likely to cause hemolysis,exclusion
NCT01518517,Patient undergoing yellow fever vaccination,exclusion
NCT01518517,Patient under phenytoin treatment,exclusion
NCT01518517,Patient included in previous clinical study less than 6 weeks ago,exclusion
NCT06855589,"1\. Histologically confirmed adenocarcinoma of the prostate diagnosed within 6 months prior to randomization, (if longer than 6 months, needs to be approved by the central Principal Investigator).

  2\. Patient has been classified as unfavorable intermediate risk as defined by one or more of the following criteria :
  * ≥ 2 of the following:",inclusion
