nct_id,title,eligibility_text
NCT05189171,MicroOrganoSphere (MOS) Drug Screen Pilot Trial in Colorectal Cancer,"Key Inclusion Criteria:

* Subject signed a valid, Institutional Review Board (IRB)/Ethics Committee (EC)-approved informed consent form.
* Male or female age 18 or older when written informed consent is obtained.
* Study candidate is willing and able to comply with all protocol-required procedures and assessments.
* Study candidate either

  1. is scheduled for or plans to be scheduled for a biopsy of the liver OR
  2. has a previous histologically or cytologically confirmed diagnosis of adenocarcinoma of the colon and/or rectum that is metastatic to the liver.

Key Exclusion Criteria:

* If already scheduled for a biopsy of the liver: liver biopsy was ordered to help diagnose, determine the severity of, or treat a disease that is unrelated to colorectal cancer (e.g., nonalcoholic fatty liver disease, chronic hepatitis B or C, autoimmune hepatitis, alcoholic liver disease, primary biliary cirrhosis, primary sclerosing cholangitis, hemochromatosis, Wilson's disease, etc.).
* Study candidate is participating (or intends to participate) in another clinical study AND either:

  1. is currently receiving investigational systemic therapy for adenocarcinoma of the colon and/or rectum that is metastatic to the liver as part of that study OR
  2. that study only allows investigational systemic therapy for adenocarcinoma of the colon and/or rectum that is metastatic to the liver (simultaneous participation in a clinical trial standard of care control arm is allowed, provided the subject is either already randomized or may be randomized to the control arm).
* Confirmed histological or cytological diagnosis of neuroendocrine colorectal cancer."
NCT03320044,Early Diagnosis of Small Pulmonary Nodules by Multi-omics Sequencing,"Inclusion Criteria:

1. Sign informed consent and consent to participate in this study;
2. Found small nodules in pulmonary by CT and prepare for surgery;

Exclusion Criteria:

1. Malignant tumor history within the past 5 years;
2. Receiving chemotherapy, radiotherapy or targeted therapy before surgery;
3. Histology confirmed not non-small cell lung cancer
4. No matching tissue or blood samplesUnqualified blood samples"
NCT01205711,"Irinotecan Hydrochloride, Fluorouracil, and Leucovorin Calcium With or Without Zibotentan in Treating Patients With Metastatic Colorectal Cancer","DISEASE CHARACTERISTICS:

* Histologically or cytologically confirmed colorectal cancer

  * Metastatic disease with no bone metastases
* Must have progressed within 6 months of adjuvant oxaliplatin-containing chemotherapy and have no significant ongoing toxicity (excluding grade 1 neurotoxicity)
* Measurable disease by RECIST criteria
* No known brain or leptomeningeal metastases

  * Stable disease following surgical resection or radiosurgery of oligometastases allowed

PATIENT CHARACTERISTICS:

* ECOG performance status 0-1
* Life expectancy ≥ 12 weeks
* Hemoglobin ≥ 9.0 g/dL (no prior transfusion) OR ≥ 10.0 g/dL (transfusion within past 4 weeks)
* Absolute neutrophil count ≥ 1.5 times 10\^9/L
* Platelet count ≥ 100 times 10\^9/L
* Total bilirubin \< 1.5 times upper limit of normal (ULN)
* AST and ALT ≤ 2.5 times ULN (≤ 5 times ULN with liver metastases)
* Creatinine clearance ≥ 50 mL/min
* Negative pregnancy test
* Not pregnant or nursing
* Fertile patients must use effective double-method contraception during and for 3 months (female) or 2 months (male) after completion of study treatment
* No active infection or serious concurrent medical condition
* No significant cardiovascular disease including any of the following:

  * History of NYHA class II-IV congestive heart failure requiring therapy
  * History of unstable angina pectoris or myocardial infarction within the past 6 months
  * Severe valvular heart disease
  * Ventricular arrhythmia requiring treatment
  * Prolonged QTc interval \> 470 msec
* No concurrent medical condition, that in the investigator's judgement, will substantially increase the risk associated with the patient's participation in the study, or potentially hamper compliance with the study protocol and follow-up schedule
* No psychiatric disorders or altered mental status precluding understanding of the informed consent process and/or compliance with the study protocol
* No gastrointestinal disorders likely to interfere with absorption of the study drug (e.g., partial bowel obstruction or malabsorption)
* No known serological positivity for hepatitis B or hepatitis C
* No immunocompromised patients (e.g., no known serological positivity for HIV)
* No other prior or current malignant disease likely to interfere with protocol treatment or comparisons

PRIOR CONCURRENT THERAPY:

* See Disease Characteristics
* No prior zibotentan or irinotecan hydrochloride
* More than 4 weeks since prior chemotherapy, radiotherapy (except for palliative reasons), endocrine therapy, or immunotherapy
* No more than 1 prior course of chemotherapy for metastatic disease
* No prior extensive radiotherapy (i.e., likely to deplete bone marrow reserve)
* At least 4 weeks since prior major surgery and recovered
* Concurrent corticosteroids allowed provided the dose is stable for 4 weeks and not altered during the first 15 days of this study
* No concurrent warfarin

  * Low molecular weight heparin allowed"
NCT04409444,Manchester Lung Health Study,"Main data study:

Inclusion Criteria:

\- Any individual attending the Manchester Lung Health service who has a lung health check as they meet the service inclusion exclusion criteria (see below):

Manchester Lung Health service inclusion criteria:

* Age 55-80
* Ever smoker
* Registered with a GP in the North or East Manchester area

Manchester Lung Health service exclusion Criteria:

* Lung cancer diagnosis within 5 years
* Listed on a palliative care register
* Chest CT scan within 3 months

Exclusion Criteria:

\- Unable to give informed consent to study participation.

Biomarker sub-study:

Inclusion Criteria:

* Any individual attending the M-LHC service who is eligible and agrees to undergo LDCT screening.
* Has consented to the main study.

Exclusion Criteria:

* Unable to give informed consent to study participation
* Decline participation in LDCT lung cancer screening
* Known blood borne virus e.g. HIV or Hepatitis B, C"
NCT06479434,Serum Biomarker Levels Improvement in Poly Cystic Ovarian Syndrome: Impact of Metformin Compared to Healthy Controls,"Inclusion Criteria:

a) Patients Falling into PCOS as per Rotterdam criteria

Exclusion Criteria:

1. Systemic diseases like atherosclerosis,
2. Diabetes mellitus
3. Hypertension
4. congenital adrenal hyperplasia, androgen secreting tumors"
NCT00671034,Calaspargase Pegol or Pegaspargase and Combination Chemotherapy in Treating Younger Patients With Newly Diagnosed High-Risk Acute Lymphoblastic Leukemia,"Inclusion Criteria:

* Patients must be eligible for and enrolled on AALL08B1 or the successor classification study
* Patients must have newly diagnosed high-risk B lymphoblastic leukemia (World Health Organization \[WHO\] 2008 classification) (also termed B-precursor acute lymphoblastic leukemia)
* White blood cell (WBC) \>= 50,000/μL for patients age 1-9 OR any WBC count for patients age 10-30 or for patients treated with prior steroids
* Patients shall have had no prior cytotoxic chemotherapy with the exception of steroids and intrathecal cytarabine; intrathecal chemotherapy with cytarabine is allowed prior to registration for patient convenience; this is usually done at the time of the diagnostic bone marrow or venous line placement to avoid a second lumbar puncture; (Note: the CNS status must be determined based on a sample obtained prior to administration of any systemic or intrathecal chemotherapy, except for steroid pretreatment) systemic chemotherapy must begin within 72 hours of this intrathecal therapy
* Patients receiving prior steroid therapy are eligible for this study; the dose and duration of previous steroid therapy should be carefully documented
* Pregnancy tests with a negative result must be obtained in all post-menarchal females
* Lactating females must agree that they will not breastfeed a child while on this study

Exclusion Criteria:

* Patients with Down syndrome are excluded from this study
* Patients with testicular leukemia at diagnosis are excluded from this study
* Pregnant female patients are excluded from this study"
NCT02601209,Sapanisertib or Pazopanib Hydrochloride in Treating Patients With Locally Advanced or Metastatic Sarcoma,"Inclusion Criteria:

* Patients must have slides available for submission to central pathology review; this review is mandatory prior to registration to confirm eligibility and proper cohort assignment

  * HISTOLOGIC COHORT 1: Undifferentiated pleomorphic sarcoma (includes: malignant fibrous histiocytoma, myxofibrosarcoma, high grade sarcoma not otherwise specified \[NOS\])
  * HISTOLOGIC COHORT 2: Leiomyosarcoma (either uterine or extra-uterine)
  * HISTOLOGIC COHORT 3: Other (either malignant peripheral nerve sheath tumor or synovial sarcoma); during the phase II portion of the study, enrollment will be limited to maximum of 25 patients in this cohort

    * Note that the phase I is limited to the histologic subtypes listed above; since patients will be enrolling onto dose cohorts during the phase I, they will not enroll onto specific histologic cohorts, although the histologic subtype informed will be collected during patient enrollment
* Histologic documentation: Eligible patients must have histopathologically confirmed sarcoma of one of the subtypes listed, by central review
* Locally advanced or metastatic disease; locally advanced disease is defined as disease not amenable to local therapy such as surgery and/or radiation
* Measurable disease
* Progression on at least one prior systemic chemotherapy for advanced, unresectable or metastatic disease; prior adjuvant or neoadjuvant therapy is not included as prior systemic chemotherapy unless treatment occurred within the 6 months prior to study enrollment
* There is no limit to the number of prior lines of treatment a patient has received
* No treatment with biological therapy, immunotherapy, chemotherapy, investigational agent for malignancy, or radiation =\< 28 days before study registration; no treatment with nitrosourea or mitomycin =\< 42 days before study registration
* No treatment with radiation therapy =\< 28 days before study registration
* Patients should have resolution of any toxic effects of prior therapy (except alopecia) to National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE), version 4.0, grade 1 or less
* Prior treatment with pazopanib or any phosphoinositide 3-kinase (PI3K), mTOR, protein kinase B (AKT), or dual PI3K/mTOR complex (CREB regulated transcription coactivator \[TORC\]1/TORC2) inhibitors will be prohibited
* Not pregnant and not nursing; because this study involves an investigational agent whose genotoxic, mutagenic and teratogenic effects on the developing fetus and newborn are unknown and an agent that has known genotoxic, mutagenic and teratogenic effects; therefore, for women of childbearing potential only, a negative pregnancy test done =\< 7 days prior to registration is required
* Eastern Cooperative Oncology Group (ECOG) performance status =\< 1
* Patient history: patients who have any of the following are NOT eligible:

  * Central nervous system (CNS): Symptomatic, untreated, or uncontrolled brain metastases present
  * Heme: Active bleeding or bleeding diathesis
  * Gastrointestinal (GI):

    * Abdominal fistula, GI perforation, or intra-abdominal abscess within 28 days prior to registration
    * Acute GI bleed within 28 days of registration
  * Diabetes mellitus: Patients with diabetes mellitus with inadequate control, based on either a glycosylated hemoglobin (Hgb A1c) of \> 7.0 or fasting blood glucose above or equal to 130 mg/dL
  * Cardiac and vascular disorders:

    * History of congenital long QT syndrome or torsades de pointes
    * Any arrhythmia that is currently not rate-controlled (rate between 60 and 100)
    * Prolongation of corrected QT interval via Fridericia's formula (QTcF) \> 480 msec
    * Ongoing unstable angina
    * Symptomatic peripheral vascular disease
    * Arterial thrombosis within 28 days of registration including transient ischemic attack (TIA), cerebrovascular accident (CVA), myocardial infarction (MI)
    * Patients with deep vein thrombosis (DVT) or pulmonary embolism (PE) must be on a stable dose of anticoagulation for 14 days prior to registration
    * Uncontrolled hypertension, defined as blood pressure (BP) \> 140/90
    * Multi gated acquisition scan (MUGA) with ejection fraction (EF), 50% or echocardiogram (echo) with low EF
    * Class III or IV congestive heart failure (CHF) within 28 days of registration
* Chronic concomitant treatment with proton pump inhibitors must discontinue the drug for 7 days prior to registration on the study
* Chronic concomitant treatment with strong inhibitors of CYP3A4 inhibitors must discontinue the drug for 14 days prior to registration on the study
* Chronic concomitant treatment with strong CYP3A4 inducers is not allowed; patients must discontinue the drug 14 days prior to the start of study treatment
* Absolute neutrophil count (ANC) \>= 1,500/mm\^3
* Platelet count \>= 100,000/mm\^3
* Creatinine =\< 1.5 x upper limit of normal (ULN)
* Total bilirubin =\< 1.5 x upper limit of normal (ULN); unless patient has Gilbert disease
* Aspartate aminotransferase (AST)/alanine aminotransferase (ALT) =\< 3 x upper limit of normal (ULN); if liver metastases, =\< 5 x upper limit of normal (ULN)
* Urine protein creatinine (UPC) =\< 1; if UPC \>= 1, then a 24-hour urine protein must be assessed; eligible patients must have a 24-hour urine protein value \< 1 g/L
* Thyroid stimulating hormone (TSH) within normal limits (WNL); supplementation is acceptable to achieve a TSH WNL; in patients with abnormal TSH however if the Free T4 is normal and patient is clinically euthyroid, patient is eligible"
NCT01495598,Pomalidomide for Kaposi Sarcoma in People With or Without HIV,"* INCLUSION CRITERIA:
* Age greater than or equal to 18 Years.
* Any human immunodeficiency virus (HIV) status.
* Kaposi sarcoma pathologically confirmed by Department of Pathology, Clinical Center, National Institutes of Health.
* At least five measurable Kaposi sarcoma (KS) lesions with no previous local radiation, surgical or intralesional cytotoxic therapy that would prevent response assessment for that lesion.
* Eastern Cooperative Oncology Group (ECOG) Performance Status less than or equal to 2
* Life expectancy greater than or equal to 6 months
* For patients with HIV-associated KS:

  * Must be receiving, and adherent to, a highly active antiretroviral therapy (HAART) regimen consistent with current clinical guidelines.
  * Must have been receiving HAART for at least one month.
  * Must have achieved an HIV viral load (VL) \<10,000 copies/mL.
* The following hematological parameters:

  * Hemoglobin greater than or equal to 10 g/dL
  * Platelets greater than or equal to 75,000 cells/mm(3)
  * Absolute neutrophil count (ANC) greater than or equal to 1000 cells/mm(3)
* The following biochemical parameters:

  * Estimated or measured creatinine clearance greater than or equal to 45mL/minute
  * Serum alanine aminotransferase (ALT) less than or equal to 2.5 times upper limit of normal
  * Serum aspartate aminotransferase (AST) less than or equal to 2.5 times upper limit of normal
  * Bilirubin less than or equal to 1.5 times upper limit of normal unless the patient is receiving protease inhibitor therapy (e.g., indinavir, ritonavir, nelfinavir, or atazanavir) known to be associated with increased bilirubin, in which case total bilirubin less than or equal to 7.5 mg/dL with direct fraction less than or equal to 0.7 mg/dL.
* Females of childbearing potential (FCBP) must have a negative serum or urine pregnancy test with a sensitivity of at least 25 mIU/mL within 14 days prior to and again within 24 hours before starting pomalidomide and must either commit to continued abstinence from heterosexual intercourse or begin TWO acceptable methods of birth control, one highly effective method and one additional effective method AT THE SAME TIME, at least 28 days before she starts taking pomalidomide. FCBP must also agree to ongoing pregnancy testing. Men must agree to use a latex condom during sexual contact with a FCBP even if they have had a vasectomy. All subjects must be counseled at a minimum of every 28 days about pregnancy precautions and risks of fetal exposure. Risks of Fetal Exposure, Pregnancy Testing Guidelines and Acceptable Birth Control Methods, and also
* All study participants must agree to be registered into the mandatory POMALYST Risk Evaluation and Mitigation Strategy (REMS) program and be willing and able to comply with the requirements of the POMALYST REMS program.
* Females of reproductive potential must be willing to adhere to the scheduled pregnancy testing as required in the POMALYST REMS program.
* Able to take aspirin 81mg daily or if intolerant of aspirin, able to take a substitute thromboprophylaxis such as low molecular weight heparin at a thromboprophylactic dose (such as enoxaparin 0.5mg/kg once daily).
* Willing and able to give informed consent.
* For subjects with HIV-associated entered after a tolerable dose has been determined, KS lesions must be either:

  * Increasing despite HAART and HIV suppression below the limit of detection (48 copies/mL) in the two months prior to screening or
  * Stable despite HAART for at least three months. Stable disease must be symptomatic (examples of symptomatic disease include disease associated with pain, edema, psychological distress and/or social withdrawal). This is to gain preliminary information about pomalidomide activity without confounding due to HAART initiation.

EXCLUSION CRITERIA:

* Symptomatic pulmonary KS.
* Symptomatic visceral KS (except for non-ulcerating disease restricted to the oral cavity).
* Specific KS therapy, including cytotoxic chemotherapy but not including HAART, within the past 4 weeks (6 weeks if the therapy was bevacizumab).
* Use of other anticancer treatments or agents within the past 4 weeks (6 weeks if the therapy was a monoclonal antibody).
* History of malignant tumors other than KS, unless:

  * In complete remission for greater than or equal to 1 year from the time response was first documented or
  * Completely resected basal cell carcinoma or
  * In situ squamous cell carcinoma of the cervix or anus.
* History of infection meeting any of the following criteria:

  * Any infection that would be scored as grade 4 by Common Terminology Criteria for Adverse Events (CTCAE) that occurred within six weeks of study screening.
  * Any infection that would be scored as grade 3 by CTCAE that occurred within two weeks of study screening.
  * History of fungal and mycobacterial infections, unless at least six weeks has passed since the completion of induction antimicrobial therapy. Patients may be receiving consolidation therapy for infections of these types.
* Any abnormality that would be scored as a greater than or equal to grade 3 toxicity by CTCAE, except:

  * Obesity is not considered an abnormality for the purposes of eligibility assessment unless in the opinion of the Principal Investigator or Lead Associate Investigator its clinical consequences in a particular subject places the subject at unacceptable risk if they were to participate in the study or confounds the ability to interpret data from the study.
  * Lymphopenia
  * Asymptomatic hyperuricemia, hypophosphatemia, or creatine kinase (CK) Elevations
  * Direct manifestations of KS
  * Direct manifestations of HIV infection, except for neurologic or cardiac manifestations
  * Direct manifestations of HIV therapy, except for neurologic or cardiac manifestations.
* History of venous or arterial thromboembolism, unless:

  * Line-related thrombosis without embolus occurring greater than or equal to 1 year prior to screening.

Complications resulting from atherosclerotic coronary artery disease, peripheral vascular disease, or cerebrovascular disease (including infarction) are not considered exclusion criteria unless in the opinion of the Principal Investigator or Lead Associate Investigator their clinical consequences in a particular subject places the subject at unacceptable risk if they were to participate in the study or confounds the ability to interpret data from the study

* Known drug-related, inherited, or acquired procoagulant disorder including prothrombin gene mutation 20210, antithrombin III deficiency, protein C deficiency, protein S deficiency and antiphospholipid syndrome but not including heterozygosity for the Factor V Leiden mutation or the presence of a lupus anticoagulant in the absence of other criteria for the antiphospholipid syndrome.
* Pregnancy.
* Breast feeding (if lactating, must agree not to breast feed while taking pomalidomide).
* Prior therapy with pomalidomide.
* Known hypersensitivity to thalidomide, lenalidomide or pomalidomide. including prior development of erythema nodosum if characterized by a desquamating rash while taking thalidomide, lenalidomide or pomalidomide.
* Any condition, including the presence of laboratory abnormalities, which in the opinion of the Principal Investigator or Lead Associate Investigator places the subject at unacceptable risk if they were to participate in the study or confounds the ability to interpret data from the study."
NCT01697163,De Novo Resistance to Epidermal Growth Factor Receptor-Tyrosine Kinase Inhibitors,"Inclusion Criteria:

1. Pathologically proven unresectable NSCLC
2. 20 years of age or older
3. Planned treatment with Iressa®
4. Patients with activating EGFR mutation (del 19, L858R)
5. Available detailed smoking history
6. Available tissue samples (archival tissue) for mutational or molecular analysis (representative paraffin block or unstained sections from tumor diagnostic specimen are mandatory)
7. Available blood sample
8. At least one lesion that is measurable according to the RECIST 1.1 criteria by CT or MRI
9. Written informed consent

Exclusion Criteria:

1. More than 3rd line treatment
2. Previously treated with other EGFR-TKI
3. Life expectancy of less than 12 weeks
4. Pregnant or lactating female
5. Any unresolved toxicity greater than CTC grade 2 (version 4.0) from previous anti cancer treatment.
6. Unsuitable patient in this treatment as determined by doctor."
NCT04446663,Toripalimab Combined With Chemoradiotherapy in Patients With Locoregionally-advanced Nasopharyngeal Carcinoma,"Inclusion Criteria:

* Only the patients meeting all the following criteria can be eligible to participate in the trial:

  1. Fully understand this study and voluntarily sign the informed consent form (ICF); have good compliance;
  2. Patients with newly histologically confirmed non-keratinizing nasopharyngeal carcinoma, including WHO II or III ;
  3. locoregionally advanced nasopharyngeal carcinoma (LANPC)（T3-4N0-1M0/T1-4N2-3M0）;
  4. Age 18 to 70 years;
  5. ECOG PS 0-1;
  6. The laboratory examination results before enrollment must meet the following standards:

     1. Neutrophils ≥1.5 × 109 / L;
     2. Platelets ≥100 × 109 / L;
     3. Hemoglobin ≥90g / L (no infusion of concentrated red blood cells within 4 weeks);
     4. Serum creatinine ≤ 1.5 × ULN and creatinine clearance ≥ 60 mL / min;
     5. Total serum bilirubin ≤ 1.5 × ULN;
     6. AST and ALT ≤ 2.5 × ULN;
     7. The ULN of coagulation parameters APTT is not extended for more than 10 seconds, and the ULN of PT is not extended for more than 3 seconds;
  7. Women of childbearing age must confirm that the serum pregnancy test is negative and agree to use effective contraception during drug use and within 1 year after the last dose；Men whose female partners have the ability to become pregnant must agree to use reliable contraception within 1 year from the screening visit to the last Toripalimab administration.

Exclusion Criteria:

1. Women of child-bearing potential are pregnant or breastfeeding ;
2. Have known allergy to large molecule protein products or any compound of Toripalimab;
3. Central nervous system metastases with clinical symptoms accompanied by cerebral edema, requiring hormone intervention, or progression of brain metastases;
4. Prior malignancy within 5 years, except carcinoma in situ of the cervix, adequately treated basal cell carcinoma of the skin and papillary thyroid carcinoma;
5. Received any of the following treatments:

   1. Patients who have been treated with inhibitors of immune regulation (CTLA-4, PD-1, PD-L1, etc.);
   2. Received any research drug within 4 weeks before the first administration of the drug;
   3. Join another clinical study at the same time, unless it is an observational (non-interventional) study or intervention study during follow-up;
   4. Within 28 days before signing the informed consent, received an equivalent dose of \>10 mg prednisone/day or other immunosuppressive therapy, and a systemic hormone dose of ≤10 mg prednisone/day or inhaled/topical corticosteroids;
   5. Have been vaccinated with anti-tumor vaccines or have been vaccinated with live vaccines within 4 weeks before the first administration of study drugs;
   6. Have undergone major surgery or severe trauma within 4 weeks before the first administration of study drugs;
6. Uncontrolled clinical symptoms or diseases of the heart, such as: (1) Heart failure above NYHA level II (2) Unstable angina (3) Myocardial infarction occurred within 1 year (4) Clinically supraventricular or Patients with ventricular arrhythmias requiring clinical intervention;
7. Serious infections (CTCAE\>2) within 4 weeks before the first use of the study drug, such as severe pneumonia, bacteremia, and infection comorbidities that require hospitalization; baseline chest imaging examinations suggest active lung inflammation . The symptoms and signs of infection exist within 2 weeks before the first dose or require oral or intravenous antibiotic use (excluding prophylactic antibiotic use);
8. Have a history of interstitial lung disease and non-infectious pneumonia;
9. Have active tuberculosis infection, or have a history of active tuberculosis infection within 1 year before enrollment, or have active tuberculosis infection one year ago but have not been formally treated;
10. Have active autoimmune diseases or a history of autoimmune diseases (such as interstitial pneumonia, colitis, hepatitis, pituitary inflammation, vasculitis, nephritis, hyperthyroidism, hypothyroidism, including but not limited to These diseases and syndromes); Autoimmune-mediated hypothyroidism treated with stable doses of thyroid replacement hormone; Type I diabetes with stabilized doses of insulin; but excluding vitiligo or cured childhood asthma/allergy who do not require any intervention in adults;
11. A history of HIV infection, or other acquired, congenital immunodeficiency diseases, or a history of organ transplantation and bone marrow transplantation;
12. Have active hepatitis HBsAg positive and HBV DNA ≥2000IU/ml or 1000 copies/ml, hepatitis C (hepatitis C antibody positive, and HCV-RNA is higher than the detection limit);
13. Known history of psychotropic substance abuse, alcoholism and drug abuse;
14. Any other disease or condition of clinical significance that the investigator believes may affect protocol compliance, or affect the signing of an ICF, or is not suitable for participation in this clinical trial."
